"nesi.pk"	"nesi.resource"	"nesi.valuetype"	"nesi.value"	"nesi.unit"	"nesi.location"	"nesi.with_property"	"nesi.reference"	"nesi.infotype"
468	336662	"EC"	0.39	"KgCO_{2"	"fossil}/kg"			
469	336662	"EC"	0.45	"kgCO_{2"	"bio}/kg"			
470	336662	"ECe"	0.42	"KgCO_{2e"	"fossil}/kg"			
471	336662	"ECe"	0.45	"KgCO_{2e"	"fossil}/kg"			
472	337396	"EE"	83.1	"MJ/kg"				
473	337396	"EC"	2.04	"kgCO_2/kg"				
474	337396	"ECe"	2.54	"kgCO_2e/kg"				
475	337396	"FE"	54.4	"MJ/kg"				
476	341659	"EE"	0.94	"MJ/kg"				
477	341659	"EE"	3.3	"MJ/kg"				
478	341659	"EC"		"kgCO_2/kg"				
479	341659	"EC"		"kgCO_2/kg"				
480	341659	"ECe"		"kgCO_2e/kg"				
481	341659	"ECe"		"kgCO_2e/kg"				
482	345787	"EE"	4	"MJ/kg"			55	
483	345787	"EC"	0.19	"kgCO_2/kg"			55	
484	345787	"ECe"		"kgCO_2e/kg"			55	
485	346022	"EE"	27	"MJ/kg"			54	
486	346022	"EC"		"kgCO_2/kg"			54	
487	346022	"ECe"		"kgCO_2e/kg"			54	
488	353009	"EE"	2.96	"MJ/kg"				
489	353009	"EE"	2.4	"MJ/kg"				
490	353009	"EC"	0.88	"kgCO_2/kg"				
491	353009	"EC"	0.75	"kgCO_2/kg"				
492	353009	"EC"	0.74	"kgCO_2/kg"				
493	353009	"EC"	0.61	"kgCO_2/kg"				
494	353009	"EC"	0.76	"kgCO_2/kg"				
